OTUID,V92S41260,SSLF1563,SLS31664,SFR2044,V57VSLS520,VSLS52145,SSL2246,SL529,Soil72,SOIL72,SOIL82,S4WOOD,SOIL4,SOIL4FRASS,SOILA,SOILVELVET,SWOODSPIDER,V88soil,SLSU856,SLS4957
b8dcdad7aefafe74da6e83bc2183b5e5,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0
9edbe2cdd0631f79ff7518d68510e193,0,0,0,0,0,0,0,0,0,0,0,30,0,0,1,0,0,146,0,0
cb1ffd58c6aedd867607585aa2a901bd,0,0,0,0,0,0,0,0,0,0,0,245,0,0,0,0,20,0,0,0
5d9a1b03ac45ed85878d536e9148aa12,0,0,0,0,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
b3d9d433c69f79973c380c6fda23393a,0,0,0,0,0,0,0,0,0,0,0,476,0,0,0,0,0,0,0,0
8560a6c4dcff50b223226eee9ab4cd29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cd66cb1a69e3a3be00e0b0673db1ccca,0,0,0,0,0,0,0,0,0,0,0,98,0,0,0,0,7,0,0,0
550108e1a273555331b5b16766c987bc,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,20,0,0,0,0
5bdb7f77ebbab9b1825534e9726584ea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0
4762aa511c34ef39b5c45f5d89e2700d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
6f3a30c4c006b2540ac77ecab31a562b,0,0,0,0,0,0,0,0,0,0,0,39,121,95,0,0,0,0,0,0
f271a97ba5d3a8fa55d449c74ae24d6d,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,0
87dfa8941aabe61e651c86f97aca6b0c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0
74a26bbaf6d970b6887139af3221afbf,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0
7317390e792fdc95d9e7b2c58621e3d1,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0
7935a2e8d8ee570154ba41fc4b1f9f01,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d2c3823ccc48e670b359ee93a83197ae,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2e9ec7d435dfd827b124260910eeacea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0
2c31258527dd889c783c4edabdd29f6e,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0
ffe7f06cb8fbe2c381b9f9b134937091,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121,0,0,0,0,0
4ab2cb5757684006bc53a32dbb4f8a03,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bce4de5acb46761fe6cfb015f5aa56d4,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0
011048ac09447fcb47deac7e876cd2ee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
125482fa68c0ff8c51f535b4357cfd30,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0
61fe769d06783df295f1ad98d5b6845d,0,0,0,0,0,0,0,0,0,0,0,82,0,0,48,0,0,0,0,0
446096546b4e9f61b7c41188947c5378,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0
cd65b3f463f73c5503877e23230b9216,576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d6896cd710116dbb7e5de1f880e47626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7fc78b43254b6a164f5a662750222946,0,0,0,0,0,0,0,0,8,0,0,48,0,0,171,0,0,0,0,0
886968d224690c72ac79392c958700cd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8d9cde97549906cb18c3be2a49188e53,0,0,0,0,0,0,0,0,0,0,0,313,0,0,0,0,110,0,0,0
5e2a5b71673ced823458928150950c2c,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
081bb4ec95469a1400560ec3683ad8be,0,0,0,0,0,0,0,0,0,0,0,0,267,0,0,0,0,0,0,0
190720811b3ba063f1cefa9d3d32a260,0,0,0,0,0,0,0,0,0,0,0,251,0,0,0,0,0,0,0,0
