Feature ID,Kingdom,Phylum,Class,Order,Family,Genus,Species
645dd8b575c7e7c0952933bbe90b4bb9,Bacteria,Proteobacteria,Gammaproteobacteria,Pseudomonadales,Pseudomonadaceae,Pseudomonas,
87dc8194571c70088650b3fca53df6c2,Bacteria,Proteobacteria,Betaproteobacteria,,,,
c489c40e6d8cfb760e22d5c9831ff8b9,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,Telmatospirillum,
c58209a95bb1c0218489a056bd090471,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,,
8a3abee2cd5352157e5105b004005962,Bacteria,Verrucomicrobia,[Methylacidiphilae],Methylacidiphilales,,,
705dc1f522bf534948349c4132ec2d81,Bacteria,Acidobacteria,DA052,Ellin6513,,,
8bec079c16cd4a4e5a8c90a8ad216f63,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,,
76e2ab928e3ab59ff0f2f2118c4540bf,Bacteria,Acidobacteria,DA052,Ellin6513,,,
62edc5169d02a1908ce8763e831a4ec3,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,,
b89a7c8547e519e8ab4f56eb09d9a978,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,,
d2e6f1cfa99aa1e637184eef6af81600,Bacteria,Planctomycetes,Phycisphaerae,WD2101,,,
d570b269268ba2dcca5623fb0c803949,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,bryophila
84baee0f762543f4ff7055ba32690daf,Bacteria,Bacteroidetes,[Saprospirae],[Saprospirales],Chitinophagaceae,,
544eb73d127997eb0ebb20cc5cd86480,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,,
57ca1860aa93bebadf06000306cb6c12,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,,,
3f66606268bd8c9f0004eb9c776e0580,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,,
d5d2a8291bdc0fc5467f3a6652fe1bac,Bacteria,Verrucomicrobia,[Pedosphaerae],[Pedosphaerales],auto67_4W,,
481b314cbf9598d8fdbca7a7fdb1233b,Bacteria,Proteobacteria,Betaproteobacteria,,,,
211524f602aa8d96548a6c16b8418012,Bacteria,Acidobacteria,Solibacteres,Solibacterales,,,
c4a96ccb7c596f82dba9f4e1713cc907,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,
eb2de2664fed6b6adbafc701107735eb,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Sinobacteraceae,,
9e9c6d962263fd31cf0bac0095fe5453,Bacteria,Verrucomicrobia,[Methylacidiphilae],Methylacidiphilales,,,
077d51a2a17f6704b26ce84c8c1b2619,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Rhodanobacter,
12df043a8ad6c27365ba9a35563f4cb6,Bacteria,Actinobacteria,Actinobacteria,Actinomycetales,,,
93fa81ecea794b0fcd620b33643097db,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,,
7d690d8b786be74aeadf89613d70857d,Bacteria,Cyanobacteria,4C0d-2,MLE1-12,,,
812b12066fbb9ffb3de5881b8602086d,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,,,
ba404816e8e79058c248eb0d51ba2ad0,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,bryophila
ef0bc532b4fa82110b60da5a21bb5a39,Bacteria,Planctomycetes,Phycisphaerae,WD2101,,,
70e35150761050616033b808de15699d,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Dyella,
c0f20058fa82849b569817145b1fe438,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,,
7a75cdcc0f9064d5d18b07c702999cba,Bacteria,WPS-2,,,,,
d01cc71f32616b5ef218a9ff995b1836,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Rhodospirillaceae,,
88baf1ccdbea8d21cd15117a37411581,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Methylocystaceae,,
25e29824ce7101bcd2f60bbc7cd31802,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Dyella,marensis
d184ddaaff75a83d4d9ce5566685f125,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Bradyrhizobiaceae,Bradyrhizobium,
e765cf8f03406d3dccb2e3d629509986,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,,
337df9dff99e4e6e0cdef266de91f8f9,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Rhodoplanes,
a3eb350e5e65f70d9c57de2a54e7598b,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodospirillales,Acetobacteraceae,,
ac4fd92ee7563bc78165f5677250c0d9,Bacteria,Acidobacteria,Solibacteres,Solibacterales,Solibacteraceae,Candidatus Solibacter,
0ddfa82a17a441e88c8fd07c0932862d,Bacteria,Acidobacteria,Acidobacteriia,Acidobacteriales,Acidobacteriaceae,,
bb095d86875ef0486d15784a36d714e4,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,,
2e30ed55ae2841db8722afaa859454ec,Bacteria,Proteobacteria,Alphaproteobacteria,Rickettsiales,Rickettsiaceae,,
7235bf91df537a9b181a03c04173d310,Bacteria,Proteobacteria,Betaproteobacteria,Burkholderiales,Burkholderiaceae,Burkholderia,bryophila
9d2a688674448c54054d1fef8c18d24c,Bacteria,Acidobacteria,TM1,,,,
bce0f5b4edbe22a65bca975b561656bf,Bacteria,Proteobacteria,Deltaproteobacteria,Syntrophobacterales,Syntrophobacteraceae,,
b7d66a288f3dcd079dc71f3ed92530ab,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Sinobacteraceae,,
